,droupout_rate,Y/N
NCT00566540,0.0,0
NCT05451329,0.0735294117647058,1
NCT01707381,0.0,0
NCT02854605,0.1,1
NCT00689052,1.0,1
NCT01336933,0.0294117647058823,1
NCT01329185,0.0,0
NCT00506155,0.0,0
NCT01404650,0.0,0
NCT02000427,0.4888888888888889,1
NCT00019604,0.8863636363636364,1
NCT00744978,0.0181818181818181,1
NCT02917629,0.1666666666666666,1
NCT02719171,0.0648648648648648,1
NCT02787005,1.0,1
NCT05216952,0.0,0
NCT01021956,0.0,0
NCT01766336,0.5574324324324325,1
NCT01289067,0.0,0
NCT03018418,0.0,0
NCT01657682,0.0714285714285714,1
NCT02654483,0.0,0
NCT00879034,0.0,0
NCT02334306,0.0,0
NCT02586012,0.3666666666666666,1
NCT00661726,0.1666666666666666,1
NCT00567541,0.0625,1
NCT03734601,0.0,0
NCT00029107,0.0,0
NCT00429026,1.0,1
NCT00291135,0.0,0
NCT01979211,0.0,0
NCT02690181,0.0,0
NCT03990649,0.2222222222222222,1
NCT03868839,0.1666666666666666,1
NCT00696072,1.0,1
NCT00873860,0.0412371134020618,1
NCT02293005,1.0,1
NCT01807624,0.0,0
NCT03329599,0.1689189189189189,1
NCT01854034,0.0,0
NCT03535740,1.0,1
NCT01243775,0.0606060606060606,1
NCT01614795,1.0,1
NCT00890162,0.1875,1
NCT00833859,0.0,0
NCT02974868,0.2608695652173913,1
NCT01497860,0.0,0
NCT00266279,0.1176470588235294,1
NCT02028988,0.03125,1
NCT00006389,0.0833333333333333,1
NCT01543776,0.0555555555555555,1
NCT02336815,1.0,1
NCT04501094,0.5,1
NCT01106092,0.0032051282051282,1
NCT00621049,0.3061224489795918,1
NCT01651039,0.9375,1
NCT04264156,0.0,0
NCT04423757,0.0888888888888888,1
NCT00045305,0.8235294117647058,1
NCT02433483,1.0,1
NCT02737891,0.0333333333333333,1
NCT00588146,0.0,0
NCT04043455,1.0,1
NCT00600353,0.1,1
NCT00535392,0.0,0
NCT01822275,0.9166666666666666,1
NCT01693692,0.2551020408163265,1
NCT00382590,0.0,0
NCT00368355,0.6086956521739131,1
NCT03147287,1.0,1
NCT00506454,0.0909090909090909,1
NCT00570401,0.0952380952380952,1
NCT00088985,0.4285714285714285,1
NCT00765661,0.0,0
NCT00978432,0.2727272727272727,1
NCT02382796,1.0,1
NCT01065051,0.0,0
NCT01782664,0.2985074626865671,1
NCT01563354,1.0,1
NCT00756470,0.3333333333333333,1
NCT01111604,0.0696202531645569,1
NCT00223990,0.04,1
NCT00779155,0.0,0
NCT00525031,0.0384615384615384,1
NCT01992536,0.1052631578947368,1
NCT00387335,0.0,0
NCT02252081,0.1666666666666666,1
NCT00395850,0.625,1
NCT01371305,0.1951219512195122,1
NCT02395627,0.1578947368421052,1
NCT01925950,1.0,1
NCT00581529,0.0,0
NCT01175148,0.0,0
NCT02054520,0.7234042553191491,1
NCT02424578,0.0333333333333333,1
NCT01924169,0.0,0
NCT01321723,0.1443298969072164,1
NCT00723099,0.0136986301369863,1
NCT00259285,0.0,0
NCT03419364,0.0869565217391304,1
NCT01209078,0.2261904761904762,1
NCT02742532,0.0634920634920634,1
NCT03418571,0.0666666666666666,1
NCT03310580,0.0238095238095238,1
NCT01948908,0.0303030303030303,1
NCT04266795,1.0,1
NCT00344305,0.015,1
NCT02851173,0.0659340659340659,1
NCT02518750,0.6666666666666666,1
NCT00907296,0.1616915422885572,1
NCT03818321,0.0162162162162162,1
NCT03121534,0.0,0
NCT00729586,0.0273972602739726,1
NCT01087203,0.9178082191780822,1
NCT00367744,0.1267605633802817,1
NCT01063517,0.9516129032258064,1
NCT02927431,0.1,1
NCT01936389,0.1,1
NCT02002208,0.5539568345323741,1
NCT01774851,0.0,0
NCT01428063,0.092511013215859,1
NCT00151411,0.6666666666666666,1
NCT02745535,0.0779220779220779,1
NCT01076335,0.1,1
NCT03343080,0.0,0
NCT00336856,0.1142857142857142,1
NCT00396279,0.8108108108108109,1
NCT03883607,0.0,0
NCT02465216,0.15,1
NCT03168711,0.1739130434782608,1
NCT01062113,0.3647058823529411,1
NCT01183065,0.0769230769230769,1
NCT00222729,0.075,1
NCT00708552,0.1411149825783972,1
NCT02369796,0.0,0
NCT01003899,1.0,1
NCT01662908,0.1309523809523809,1
NCT00101036,0.0,0
NCT02408796,0.0,0
NCT00467389,0.0,0
NCT00515086,1.0,1
NCT00752856,0.0196078431372549,1
NCT00903175,0.3483606557377049,1
NCT01874340,0.9642857142857144,1
NCT00003475,0.325,1
NCT00951379,0.1538461538461538,1
NCT01894503,0.0,0
NCT01088815,0.0,0
NCT01942837,1.0,1
NCT00950612,0.0,0
NCT00672633,0.04,1
NCT01974206,0.0466666666666666,1
NCT01443026,0.1212121212121212,1
NCT01483599,0.1021897810218978,1
NCT00477204,0.0,0
NCT00038142,0.6304347826086957,1
NCT00201825,0.0,0
NCT00510653,0.4583333333333333,1
NCT00989092,0.4111498257839721,1
NCT03592277,0.1166666666666666,1
NCT00513435,0.0,0
NCT01038921,0.0512820512820512,1
NCT02406209,0.5555555555555556,1
NCT02303977,0.0,0
NCT00998946,0.3103448275862069,1
NCT02887248,1.0,1
NCT01153984,0.0869565217391304,1
NCT01822561,0.1333333333333333,1
NCT00717626,0.0,0
NCT01156844,0.0837696335078534,1
NCT00283712,0.05,1
NCT01408563,0.0606060606060606,1
NCT00431184,0.0,0
NCT00775450,0.0061957868649318,1
NCT03834688,0.0,0
NCT00691015,0.0208333333333333,1
NCT00906282,0.0,0
NCT00668863,1.0,1
NCT00076752,0.3333333333333333,1
NCT01962870,0.0,0
NCT04433767,0.0344827586206896,1
NCT01353586,0.0483870967741935,1
NCT00874497,0.5476190476190477,1
NCT02556632,0.1047120418848167,1
NCT01257581,0.2333333333333333,1
NCT02658812,1.0,1
NCT03462966,0.0,0
NCT02137239,0.1551724137931034,1
NCT00556673,0.1612903225806451,1
NCT01519869,0.0357142857142857,1
NCT02758717,0.0,0
NCT00113425,0.3409090909090909,1
NCT00410813,1.0,1
NCT01293682,0.0,0
NCT00591630,0.0333333333333333,1
NCT04699461,1.0,1
NCT03168906,1.0,1
NCT01220024,0.04,1
NCT01054456,0.0277777777777777,1
NCT02409459,0.0246913580246913,1
NCT00678015,0.0,0
NCT03084718,0.0836065573770491,1
NCT02669862,0.1224489795918367,1
NCT02479451,0.0,0
NCT03236662,0.0,0
NCT00490698,0.9090909090909092,1
NCT03486912,0.1298701298701298,1
NCT00934934,0.0163934426229508,1
NCT00262951,0.6956521739130435,1
NCT02132832,0.238095238095238,1
NCT03442764,0.0169491525423728,1
NCT00813592,1.0,1
NCT01357850,0.0121951219512195,1
NCT00363649,0.2352941176470588,1
NCT00455429,0.2619047619047619,1
NCT03821402,0.2771084337349397,1
NCT01037985,0.1351351351351351,1
NCT00668785,0.0,0
NCT00278161,0.1358024691358024,1
NCT02564523,0.0354147250698974,1
NCT00148668,0.0,0
NCT02860039,0.0882352941176469,1
NCT00372385,0.2198142414860681,1
NCT02020304,0.0862068965517241,1
NCT02749227,0.0,0
NCT01128569,0.0,0
NCT03284424,1.0,1
NCT01231841,0.0,0
NCT01267266,0.0,0
NCT00529802,0.04,1
NCT01157377,0.0897435897435897,1
NCT01293539,0.1,1
NCT04064684,0.0,0
NCT01458288,0.0,0
NCT00983853,0.1935483870967742,1
NCT00907738,1.0,1
NCT01049412,0.0598290598290598,1
NCT03402659,0.0621118012422359,1
NCT01888965,1.0,1
NCT04085341,0.0,0
NCT00063258,0.8,1
NCT01045798,0.4,1
NCT02613884,0.0769230769230769,1
NCT01207687,0.1428571428571428,1
NCT01108094,0.1034482758620689,1
NCT03128411,0.0833333333333333,1
NCT02049450,0.1333333333333333,1
NCT00422032,0.0,0
NCT03697252,0.2032967032967033,1
NCT00847197,0.1518324607329843,1
NCT02722941,0.0,0
NCT01955109,0.3157894736842105,1
NCT00753636,0.1935483870967742,1
NCT00124514,0.2903225806451613,1
NCT02914314,0.1111111111111111,1
NCT02590003,1.0,1
NCT02696967,0.0,0
NCT01215279,0.0,0
NCT00389441,1.0,1
NCT03658629,0.0378181818181818,1
NCT02413372,0.0735294117647058,1
NCT00699556,0.0,0
NCT01538862,0.0,0
NCT00267696,0.0,0
NCT04342663,0.2434210526315789,1
NCT01752855,0.0568181818181818,1
NCT03806127,0.1486486486486486,1
NCT02554903,0.1578947368421052,1
NCT02933879,0.2554347826086957,1
NCT01176513,0.12,1
NCT01767701,0.0,0
NCT00314106,0.0,0
NCT04088500,1.0,1
NCT00938912,0.3041095890410959,1
NCT03256253,0.6666666666666666,1
NCT01663714,0.2727272727272727,1
NCT03931785,0.0927835051546391,1
