,droupout_rate,Y/N
NCT00099359,0.1077809798270893,1
NCT01618162,0.167816091954023,1
NCT03433755,0.0082644628099173,1
NCT00843024,0.1680814940577249,1
NCT00357877,0.056968463886063,1
NCT05718466,0.1142857142857142,1
NCT00006164,0.1438095238095238,1
NCT01078753,0.0,0
NCT00307684,0.1555555555555555,1
NCT00128492,0.2883211678832116,1
NCT02241486,0.0,0
NCT01972074,0.2131147540983606,1
NCT01967550,0.0230263157894736,1
NCT01716104,0.0522088353413654,1
NCT02613871,0.027027027027027,1
NCT01165554,0.1133004926108374,1
NCT03783078,1.0,1
NCT00745290,0.0,0
NCT05780281,0.0190735694822888,1
NCT00309985,0.0797468354430379,1
NCT03395197,1.0,1
NCT00242580,0.3243243243243243,1
NCT00412971,0.1716738197424892,1
NCT00961350,0.2150943396226415,1
NCT03897088,0.2467532467532467,1
NCT00496730,0.04296875,1
NCT01952847,0.0746268656716417,1
NCT01345669,0.6580226904376013,1
NCT01166997,0.0338983050847457,1
NCT00441584,0.8974358974358975,1
NCT00443651,0.2651646447140381,1
NCT01660802,0.0572519083969465,1
NCT04372017,0.0,0
NCT01735175,0.1329113924050632,1
NCT00998764,0.9959349593495936,1
NCT02128763,0.0672897196261682,1
NCT02906202,0.0416666666666666,1
NCT00758485,0.0285714285714285,1
NCT03332212,0.0555555555555555,1
NCT00418379,0.0261780104712041,1
NCT02513550,0.1151515151515151,1
NCT02562235,0.125,1
NCT01086423,0.0223577235772357,1
NCT00540514,0.4866920152091255,1
NCT01977547,0.0500650195058517,1
NCT00168324,0.0377358490566037,1
NCT00428597,1.0,1
NCT01954121,0.5,1
NCT00294658,0.119047619047619,1
NCT00546351,0.3800322061191626,1
NCT00408408,0.0165837479270315,1
NCT02053792,0.1030927835051546,1
NCT01000025,0.9805555555555556,1
NCT02456103,1.0,1
NCT02980224,0.0388888888888888,1
NCT02118792,0.0890052356020942,1
NCT03890367,0.0155586987270155,1
NCT02634788,0.0745341614906832,1
NCT02642432,0.0547945205479452,1
NCT02249377,0.98,1
NCT02354508,0.1136363636363636,1
NCT02926950,0.1872586872586872,1
NCT01970488,0.1071428571428571,1
NCT01332253,0.0,0
NCT02017717,0.9900793650793652,1
NCT02648347,0.2318675042832667,1
NCT01145638,0.42,1
NCT00468845,0.1696606786427145,1
NCT00103285,0.1437437934458788,1
NCT00171873,0.1411764705882353,1
NCT00459537,0.1379980563654033,1
NCT01116739,0.129126213592233,1
NCT00744497,1.0,1
NCT00808067,0.1698113207547169,1
NCT01222520,0.0172413793103448,1
NCT04841577,0.0440677966101694,1
NCT01254630,0.7922421948912015,1
NCT00545168,0.0875,1
NCT01806597,0.073170731707317,1
NCT03304054,0.2580645161290322,1
NCT01763918,0.0574018126888217,1
NCT02588248,0.0853658536585365,1
NCT00656799,0.3333333333333333,1
NCT03357614,0.0379928315412186,1
NCT00307931,0.0625,1
NCT04469465,0.1744186046511628,1
NCT00276458,0.0663265306122449,1
NCT02037529,0.0248756218905472,1
NCT04626297,0.2086614173228346,1
NCT01010932,0.0990990990990991,1
NCT01981954,0.0454545454545454,1
NCT00807768,0.0,0
NCT00945958,0.0745341614906832,1
NCT02014480,0.0204081632653061,1
NCT02105701,0.0238095238095238,1
NCT03657810,0.0542986425339366,1
NCT00550680,0.2692307692307692,1
NCT00369785,0.2626262626262626,1
NCT00523744,0.0,0
NCT01886690,0.0135135135135135,1
NCT00197002,0.1316397228637413,1
NCT01887717,0.4722222222222222,1
NCT03277105,1.0,1
NCT00746954,0.0,0
NCT02203032,0.1019929660023446,1
NCT02547233,0.1095406360424028,1
NCT00075478,0.0229885057471264,1
NCT02308033,0.2205882352941176,1
NCT00479713,0.0355987055016181,1
NCT02156154,0.0172413793103448,1
NCT03342898,0.1788888888888888,1
NCT03568318,0.0495867768595041,1
NCT03183141,0.053231939163498,1
NCT02432144,0.0833333333333333,1
NCT02141516,0.0209205020920502,1
NCT02706730,0.1746031746031746,1
NCT02818998,0.1123110151187904,1
NCT00833053,0.3076923076923077,1
NCT02121262,0.1443661971830986,1
NCT02898454,0.0625,1
NCT03447249,0.0130890052356019,1
NCT04137887,0.0060432089439492,1
NCT03021187,0.0465116279069767,1
NCT00458302,0.171875,1
NCT00792805,0.1438721136767318,1
NCT03383666,0.1904761904761904,1
NCT04525885,0.2670807453416149,1
NCT01358760,0.1488888888888888,1
NCT00440531,0.0407407407407407,1
NCT00788710,0.0441860465116279,1
NCT01794923,0.0048780487804878,1
NCT02530281,0.0697674418604651,1
NCT00599872,0.1906976744186046,1
NCT00968201,0.7754318618042226,1
NCT00437645,0.1267962806424344,1
NCT01231750,0.0,0
NCT00432666,0.1724137931034483,1
NCT02155101,0.0083333333333333,1
NCT04513652,0.0,0
NCT00266630,0.5035971223021583,1
NCT01465178,0.0161290322580645,1
NCT00069784,0.096673845417564,1
NCT04024228,0.0064977257959714,1
NCT00353496,0.1617647058823529,1
NCT00254566,0.1439393939393939,1
NCT00130208,0.0179640718562874,1
NCT00974363,0.0,0
NCT02358044,0.0350194552529182,1
NCT01816165,0.0555555555555555,1
NCT02801669,0.3079268292682927,1
NCT00653523,0.1258278145695364,1
NCT04709575,0.0424929178470254,1
NCT04303559,1.0,1
NCT02495168,0.0950305143853531,1
NCT02670083,0.7872078720787208,1
NCT00236938,0.2727272727272727,1
NCT01078675,0.2349206349206349,1
NCT01352845,0.2654114788946249,1
NCT01798706,0.12,1
NCT01702805,0.0723684210526315,1
NCT02885636,0.0,0
NCT02692391,0.0,0
NCT01843062,0.1330472103004291,1
NCT02100670,0.0649350649350649,1
NCT03578081,0.0637681159420289,1
NCT00055497,0.3623188405797101,1
NCT00196937,0.0315315315315315,1
NCT02809053,0.0412698412698412,1
NCT03349333,1.0,1
NCT00671853,0.5164835164835165,1
NCT03715465,0.075,1
NCT01977794,0.07,1
NCT02975934,0.1111111111111111,1
NCT00533949,0.0900735294117647,1
NCT04546724,0.1144592952612393,1
NCT00492557,0.0405172413793103,1
NCT01232569,0.1181619256017505,1
NCT01904149,0.0495049504950495,1
NCT03462719,0.7867298578199052,1
NCT00731549,0.2062904717853839,1
NCT01833533,0.0885245901639344,1
NCT01896921,0.2857142857142857,1
NCT01369212,0.0696517412935323,1
NCT01843751,0.8571428571428571,1
