droupout_rate,Y/N
0.0,0
0.064516129032258,1
0.0,0
0.0416666666666666,1
0.4960159362549801,1
0.0729613733905579,1
0.0172413793103448,1
0.6039603960396039,1
0.0459770114942528,1
0.0683544303797468,1
0.0,0
0.4563862928348909,1
0.0333333333333333,1
0.0338983050847457,1
0.0,0
0.0792079207920792,1
1.0,1
0.1239669421487603,1
0.680327868852459,1
0.3826530612244898,1
0.14,1
0.0588235294117647,1
0.0089686098654708,1
0.1604938271604938,1
0.0337078651685393,1
0.032258064516129,1
0.0,0
0.0,0
0.0,0
0.0163934426229508,1
0.4464285714285714,1
0.2333333333333333,1
0.1785714285714285,1
0.0,0
0.106145251396648,1
0.0,0
0.0134529147982062,1
0.4176706827309236,1
0.2745098039215686,1
0.0666666666666666,1
0.0,0
0.2275280898876404,1
0.037037037037037,1
0.03125,1
0.0123456790123456,1
0.0,0
0.0,0
0.1287878787878787,1
0.05,1
0.16,1
0.2099447513812154,1
1.0,1
0.0,0
0.1,1
0.4246575342465753,1
0.0,0
0.0,0
0.1818181818181818,1
0.2,1
0.1792452830188679,1
0.0961538461538461,1
0.0625,1
0.1247803163444639,1
0.1098901098901098,1
0.0714285714285714,1
0.0,0
0.0,0
0.0449101796407185,1
0.0,0
0.1898734177215189,1
0.7510373443983402,1
0.5573770491803278,1
1.0,1
0.125,1
0.0,0
0.28125,1
0.0,0
0.1181102362204724,1
0.016,1
0.0,0
0.0,0
0.015732546705998,1
0.0369565217391304,1
1.0,1
0.1044776119402985,1
0.06282722513089,1
0.0,0
0.02,1
0.249379652605459,1
0.0652173913043478,1
0.1034482758620689,1
0.5,1
0.1376146788990825,1
0.2824427480916031,1
0.0,0
0.0,0
0.0,0
0.0781758957654723,1
0.0714285714285714,1
0.3142857142857143,1
0.075,1
0.0333333333333333,1
0.0,0
0.15,1
0.0,0
0.0125786163522012,1
0.0769230769230769,1
0.2,1
0.4736842105263157,1
0.025,1
0.0,0
0.3636363636363636,1
0.0,0
0.08,1
0.2813370473537604,1
0.0,0
0.0,0
0.3636363636363636,1
0.0,0
